dog_DogID,dog_Tattoo,dog_CallName,dog_LitterID,dog_BreederID,dog_DOB,dog_Sex,dog_StatusChangeDate,dog_SubStatusCode,dbc_DogBreedDescription,Dog_EndReasonText,dbcc_ColorDescription,ogr_RelationID,ogr_PersonID,ogr_DateStart,ogr_DateEnd,ogr_DateRefused,Relationship_Description
14612,3B408,Bea,B408,7105,11/17/08,F,8/5/14,98,Labrador Retriever,BRD retire genetic reason,Black,36305,1814,1/12/09,4/6/10,,Puppy Raiser/primary
7802,3U300,Unique,U300,7105,10/6/00,F,7/23/08,98,Labrador Retriever,Dog age-too old for reuse,Black,35150,9785,10/2/08,,,Adopter of dog
11596,9R305,Rachel,R305,7105,10/10/05,F,7/5/12,98,German Shepherd,Dog age-too old for reuse,Black/tan,35287,10367,3/2/07,7/5/12,,Foster for breeding dog
14279,4OO08,Onslo,OO08,7105,6/9/08,M,7/24/14,98,Golden Retriever,Dog age-too old for reuse,Golden,35288,11422,8/9/08,2/14/09,,Puppy Raiser/primary
14173,6HH08,Heather,HH08,7105,5/10/08,F,11/13/14,98,Labrador Retriever,Dog age-too old for reuse,Black,35314,11023,8/15/08,11/10/09,,Puppy Raiser/primary
14279,4OO08,Onslo,OO08,7105,6/9/08,M,7/24/14,98,Golden Retriever,Dog age-too old for reuse,Golden,35319,7299,8/9/08,,,Veterinary sponsor for pups
13860,8B08,Bamboo,B08,7105,1/9/08,F,4/2/14,98,Labrador Retriever,Dog age-too old for reuse,Yellow,35430,14621,7/17/08,,,Veterinary sponsor for pups
13970,7S08,Shelby,S08,7105,3/9/08,F,8/29/13,98,Labrador Retriever,BRD retire genetic reason,Yellow,35446,2366,9/1/08,9/22/09,,Puppy Raiser/primary
9868,4H303,Heidi,H303,7105,9/3/03,F,9/4/08,98,Golden Retriever,BRD retire genetic reason,Golden,35450,13352,8/3/08,,,Adopter of dog
9674,7GG03,Gabby,GG03,7105,5/27/03,F,9/4/08,98,Labrador Retriever,Dog health problem,Yellow,35452,11568,9/4/08,,,Adopter of dog
14340,9VV08,Vinca,VV08,7105,6/28/08,F,9/11/14,98,Labrador Retriever,Dog age-too old for reuse,Yellow,35579,19528,9/12/08,2/2/10,,Puppy Raiser/primary
12533,7L406,Lance,L406,7105,10/28/06,M,2/15/13,98,Labrador Retriever,BRD retire genetic reason,Black,35605,9045,9/22/08,2/15/13,,Foster for breeding dog
12478,6G406,Gertie,G406,7105,10/11/06,F,3/22/12,98,Labrador Retriever,Dog age-too old for reuse,Yellow,35623,13254,9/24/08,3/22/12,,Foster for breeding dog
8848,7JJ02,Jonquil,JJ02,7105,5/2/02,F,2/24/09,98,Labrador Retriever,Dog age-too old for reuse,Yellow,36581,4508,2/24/09,,,Adopter of dog
14596,1A408,Abner,A408,7105,11/11/08,M,6/11/14,98,Labrador Retriever,BRD retire genetic reason,Black,36602,17722,2/23/09,4/6/10,,Puppy Raiser/primary
12727,2C07,Cricket,C07,7105,1/29/07,F,3/13/14,98,Labrador Retriever,Dog age-too old for reuse,Black,36555,3564,2/16/09,2/1/13,,Foster for breeding dog
10716,2M304,Maria,M304,7105,7/25/04,F,5/28/09,98,Labrador Retriever,Dog health problem,Yellow,37209,14679,5/29/09,,,Adopter of dog
9095,4Q302,Quarry,Q302,7105,9/29/02,F,10/15/09,98,Labrador Retriever,Dog age-too old for reuse,Yellow,38184,11833,10/15/09,,,Adopter of dog
10735,3O304,Oneida,O304,7105,8/2/04,F,10/15/09,98,Labrador Retriever,BRD retire genetic reason,Black,38185,1814,10/15/09,,,Adopter of dog
11196,1R05,Reba,R05,7105,2/24/05,F,10/15/09,98,Labrador Retriever,BRD retire genetic reason,Yellow,38188,15642,10/15/09,,,Adopter of dog
13923,5K08,Kizzy,K08,7105,2/8/08,F,4/25/14,98,German Shepherd,Dog age-too old for reuse,Black/tan,38204,1729,10/19/09,4/25/14,,Foster for breeding dog
8845,4JJ02,Jasmine,JJ02,7105,5/2/02,F,10/17/08,98,Labrador Retriever,BRD retire genetic reason,Black,35789,11813,10/17/08,,,Adopter of dog
